tarih,plaka,marka,model,uretim_tarihi,km,parca_fiyat,iscilik_fiyat
2016-09-01,EKZ49F3,VOLKSWAGEN,PHOETON,2005,80372,3684,690
2011-12-10,HQG7T6X,MERCEDES,A180,2007,45224,749,803
2013-04-12,0KVF3OF,FIAT,FIORINO,2002,115800,5541,1549
2013-10-11,YFKAVH7,MERCEDES,E250,2002,112902,2486,312
2012-09-27,Q6TLM6E,VOLVO,XC90,2006,173189,3950,955
2016-07-26,WGHZAVN,FIAT,EGEA,2006,87012,6134,1308
2013-10-20,TULG9IY,FIAT,MAREA,2005,145582,4374,1285
2017-03-29,OWL0H7K,FIAT,LINEA,2008,108354,4884,1771
2017-12-07,0TB49VR,FORD,FOCUS,2012,17044,9016,740
2011-07-08,2IHX4YG,FORD,KA,2005,7837,9430,1662
2015-02-12,34SE6VU,MERCEDES,S350,2000,157696,9112,1162
2016-04-15,FLBQTAX,FORD,FIESTA,2015,71131,9746,1747
2010-09-30,XTG0DF2,FORD,ESCORT,2001,185458,159,1677
2019-05-05,IYEE8YH,FIAT,ALBEA,2014,101573,210,1847
2010-04-07,0AL75ER,VOLVO,V40,2006,129221,884,1779
2013-02-20,LRZE1TN,VOLKSWAGEN,SCIROCCO,2005,176167,9362,1487
2017-10-08,UHAMD6Q,VOLVO,S60,2004,101480,3724,462
2020-01-17,H6PDY37,VOLVO,XC90,2004,7367,1253,378
2011-03-16,W2AMC83,MERCEDES,C180,2007,157029,8787,1351
2012-11-12,RWL20SU,FORD,FOCUS,2009,191988,890,1618
2019-01-28,V7DGQLU,MERCEDES,S600,2006,164935,9656,687
2019-01-03,K03SJBE,MERCEDES,C180,2010,26880,3750,1895
2010-11-17,VS49Z3G,VOLVO,XC90,2003,26734,1708,800
2013-02-11,E3DJCH6,MERCEDES,S600,2000,97103,3791,781
2013-10-31,MQP6QOZ,MERCEDES,C180,2000,89916,9892,1374
2019-06-07,C3E84WM,VOLKSWAGEN,PHOETON,2009,118615,3091,1661
2015-12-30,87WR5JN,VOLVO,XC90,2011,146393,7241,1091
2011-06-17,JAE3PJC,VOLKSWAGEN,PASSAT,2002,109898,6106,1002
2020-05-07,GZ7DB9I,VOLKSWAGEN,POLO,2015,114080,7965,570
2017-08-31,CH8RQVH,VOLKSWAGEN,JETTA,2016,175711,1190,1281
2016-12-17,XHNKKYW,MERCEDES,S350,2005,1125,1588,503
2011-09-12,SBJD6XW,VOLVO,S90,2003,165124,4288,1455
2010-04-06,6U1H9E1,FORD,FIESTA,2010,2824,7839,589
2018-01-11,HWOGUZT,FIAT,MAREA,2017,139435,9957,685
2014-11-02,DIY9FOQ,FORD,MONDEO,2007,75601,8385,1570
2012-06-13,RI40B5F,FORD,KA,2012,67650,9090,824
2010-09-08,JHMO9PE,FIAT,EGEA,2005,5225,1262,995
2010-05-15,UN72F3K,MERCEDES,C180,2005,154387,4265,1892
2012-10-28,GPN7CK9,VOLVO,S40,2010,35017,9445,1403
2010-09-06,YM0FHMF,FIAT,MAREA,2001,45097,1203,878
2018-10-11,367ON9U,VOLKSWAGEN,GOLF,2003,42766,3402,1485
2020-03-01,6K7GWRC,FORD,KUGA,2011,70250,2529,1666
2015-08-25,2HAO94O,FORD,MONDEO,2015,22285,2052,1312
2018-05-21,DGOUETK,VOLVO,V60,2002,106905,6351,369
2013-11-01,KD6CX25,FORD,FIESTA,2011,69241,6458,1773
2012-12-24,MV60OVW,FORD,MONDEO,2005,199092,117,1871
